Method,accuracy,f1_score,presicion,recall,N
Graph Laplacian,0.9390862944162437,0.8867924528301886,1.0,0.7966101694915254,5
MBO,0.9055837563451776,0.8180039138943248,0.9675925925925926,0.7084745762711865,5
Graph Laplacian,0.965979381443299,0.9398907103825136,0.9961389961389961,0.8896551724137931,10
MBO,0.9288659793814433,0.8715083798882681,0.9473684210526315,0.8068965517241379,10
Graph Laplacian,0.9691489361702128,0.9457943925233646,0.9921568627450981,0.9035714285714286,20
MBO,0.9521276595744681,0.9158878504672897,0.9607843137254902,0.875,20
Graph Laplacian,0.9715909090909091,0.9498997995991983,0.9916317991631799,0.9115384615384615,40
MBO,0.9613636363636363,0.9325396825396826,0.9631147540983607,0.9038461538461539,40
Graph Laplacian,0.975,0.9552941176470587,0.9902439024390244,0.9227272727272727,80
MBO,0.9671052631578947,0.9414519906323184,0.9710144927536232,0.9136363636363637,80
Graph Laplacian,0.9769230769230769,0.9555555555555556,0.9923076923076923,0.9214285714285714,160
MBO,0.975,0.9520295202952028,0.9847328244274809,0.9214285714285714,160
